,county,median
0,san mateo,1582169
1,nantucket,1563861
2,santa clara,1512497
3,marin,1473514
4,san francisco,1464880
5,dukes,1238496
6,teton,1232564
7,new york,1110547
8,santa cruz,1082135
9,alameda,1077467
10,maui,1030181
11,orange,1029214
12,falls church city,981739
13,pitkin,980126
14,honolulu,968038
15,kauai,961955
16,summit,960154
17,monroe,954012
18,kings,936335
19,san diego,934402
20,king,929774
21,arlington,912761
22,los angeles,890716
23,san luis obispo,882047
24,napa,879340
25,contra costa,875183
26,ventura,872457
27,williamson,862333
28,santa barbara,862274
29,summit,861486
30,eagle,859473
31,monterey,836922
32,gallatin,829979
33,boulder,820181
34,sonoma,818928
35,san benito,811499
36,douglas,793085
37,middlesex,787569
38,district of columbia,784525
39,suffolk,783020
40,routt,765795
41,loudoun,759346
42,snohomish,759090
43,queens,757755
44,fairfax,757472
45,san juan,743640
46,norfolk,740967
47,placer,740068
48,alexandria city,738383
49,nassau,731552
50,broomfield,724898
51,blaine,718598
52,el dorado,718367
53,richmond,714674
54,deschutes,713234
55,ouray,708622
56,westchester,699802
57,fairfax city,698917
58,jefferson,689672
59,barnstable,688252
60,nevada,687450
61,wasatch,682267
62,denver,681243
63,elbert,677847
64,montgomery,670576
65,collier,657623
66,hawaii,654312
67,essex,650959
68,whatcom,650325
69,newport,647849
70,bergen,647042
71,san miguel,643531
72,larimer,639709
73,clackamas,639349
74,howard,636214
75,solano,633442
76,flathead,631323
77,yolo,630856
78,forsyth,616048
79,island,610912
80,travis,609625
81,utah,609398
82,riverside,609299
83,kootenai,607121
84,arapahoe,605759
85,washington,598213
86,monmouth,596643
87,morris,595227
88,morgan,594842
89,washington,594619
90,rockland,593692
91,clear creek,593053
92,hood river,589653
93,salt lake,588713
94,gunnison,584882
95,multnomah,584421
96,fairfield,579772
97,skagit,579246
98,plymouth,578535
99,la plata,577366
100,suffolk,576224
101,pierce,575639
102,st. johns,573924
103,ada,572812
104,san bernardino,571856
105,davis,571515
106,missoula,571297
107,washoe,568847
108,benton,567783
109,kitsap,565134
110,walton,562830
111,washington,562521
112,fauquier,562248
113,chelan,560870
114,chaffee,558443
115,charleston,557579
116,somerset,555333
117,rappahannock,554307
118,san joaquin,553133
119,hudson,552500
120,chatham,552370
121,sacramento,550422
122,bronx,548841
123,teton,545959
124,douglas,544824
125,essex,543648
126,clark,543165
127,miami-dade,541837
128,fulton,538765
129,collin,538289
130,coconino,537155
131,weld,535802
132,prince william,535664
133,union,535386
134,adams,534175
135,hunterdon,533497
136,thurston,533152
137,goochland,529495
138,wake,527677
139,cumberland,526852
140,rockingham,525046
141,palm beach,524918
142,williamson,520953
143,orange,520802
144,kendall,520664
145,gilpin,517695
146,maricopa,516442
147,cape may,516102
148,garfield,514825
149,cache,513377
150,stafford,512359
151,sarasota,508658
152,jefferson,506106
153,valley,503614
154,grand,503014
155,fayette,502967
156,anne arundel,502673
157,chittenden,502182
158,bristol,502086
159,mendocino,501398
160,el paso,501128
161,broward,500480
162,beaufort,498922
163,yamhill,498671
164,park,497943
165,cherokee,497140
166,albemarle,495784
167,putnam,495727
168,chester,495630
169,martin,495401
170,wilson,493739
171,josephine,493169
172,denton,492773
173,delaware,491302
174,yavapai,490328
175,davidson,489829
176,comal,489281
177,tooele,488765
178,stanislaus,486386
179,bristol,486304
180,james city,484157
181,calvert,482145
182,rockwall,482007
183,clark,479988
184,archuleta,478320
185,union,476751
186,manatee,476592
187,weber,475716
188,mineral,475636
189,passaic,475308
190,santa fe,475281
191,cobb,474801
192,clallam,474158
193,mecklenburg,471823
194,spokane,470279
195,carroll,470099
196,hillsborough,469216
197,clarke,469028
198,mason,468444
199,polk,468413
200,grand,468337
201,middlesex,468226
202,frederick,468091
203,park,467884
204,carver,467810
205,sumter,466188
206,mono,466147
207,new hanover,465675
208,hays,464991
209,buncombe,464935
210,worcester,464541
211,lane,461421
212,sumner,460358
213,sitka city and borough,458682
214,kittitas,458314
215,oconee,456594
216,seminole,455786
217,madison,455530
218,dare,455164
219,york,454606
220,hinsdale,454431
221,charlottesville city,453587
222,parker,453526
223,bucks,453296
224,hanover,453289
225,york,452824
226,durham,452381
227,washington,452232
228,clatsop,452160
229,alpine,451927
230,lewis and clark,450134
231,benton,449684
232,queen anne's,449665
233,nassau,449647
234,dutchess,449362
235,ravalli,449282
236,fredericksburg city,447831
237,humboldt,447506
238,poquoson city,447250
239,juneau city and borough,446709
240,bonneville,446601
241,orange,445503
242,st. mary's,444416
243,madera,443842
244,prince george's,443615
245,san juan,442889
246,cowlitz,442855
247,montgomery,440206
248,lee,440056
249,marion,439919
250,hamilton,439484
251,skamania,439305
252,canyon,439226
253,yuba,438189
254,gillespie,438100
255,bonner,437475
256,johnson,437444
257,hillsborough,436723
258,mesa,436628
259,linn,436500
260,twin falls,436059
261,waukesha,435084
262,charles,434481
263,scott,433562
264,dane,432643
265,jefferson,432100
266,maury,431514
267,frederick,431103
268,merced,430766
269,boone,430614
270,ozaukee,429393
271,sutter,429333
272,lewis,429223
273,rutherford,428094
274,gwinnett,426100
275,pinellas,425085
276,oldham,424958
277,fresno,424915
278,moore,424857
279,culpeper,424163
280,calaveras,423726
281,anchorage municipality,423527
282,king george,423259
283,dupage,422796
284,jackson,421024
285,talbot,420475
286,jackson,419540
287,franklin,417999
288,amador,417632
289,manassas city,417500
290,orange,415612
291,hennepin,415606
292,merrimack,415119
293,teller,414227
294,butte,414146
295,dekalb,413474
296,los alamos,411611
297,kent,411241
298,lake,410800
299,brunswick,410598
300,pinal,410326
301,richmond city,410250
302,tillamook,410090
303,williamsburg city,409844
304,curry,409824
305,virginia beach city,409594
306,spotsylvania,409419
307,mercer,408579
308,charlotte,407747
309,coweta,407646
310,powhatan,406960
311,providence,406750
312,new kent,406697
313,henderson,406631
314,aleutians west census area,405929
315,chesterfield,405907
316,klickitat,405327
317,fort bend,404442
318,leelanau,403724
319,sublette,403553
320,shasta,403179
321,carson city,401346
322,harford,401345
323,cabarrus,401282
324,york,401001
325,grand isle,400975
326,okaloosa,400650
327,washtenaw,400006
328,chesapeake city,399744
329,ocean,398706
330,tuolumne,398513
331,st. lucie,397522
332,yellowstone,397078
333,dakota,396937
334,osceola,396311
335,crook,393500
336,brevard,393339
337,douglas,393333
338,ketchikan gateway borough,393084
339,indian river,392954
340,stillwater,392625
341,hall,390933
342,carbon,390644
343,henrico,389455
344,warren,388763
345,kodiak island borough,387971
346,strafford,387821
347,new london,387105
348,blanco,387099
349,manassas park city,386700
350,santa rosa,386391
351,sherburne,386353
352,ulster,385316
353,livingston,384977
354,middlesex,384886
355,litchfield,382412
356,grand traverse,381354
357,lincoln,381158
358,walton,380729
359,berkeley,380206
360,robertson,379348
361,park,378909
362,ellis,378847
363,clay,378815
364,dorchester,378667
365,wallowa,378238
366,sheridan,377866
367,broadwater,377289
368,baltimore,377185
369,carteret,377132
370,lancaster,377064
371,lincoln,377015
372,suffolk city,376802
373,columbia,375023
374,sanders,374165
375,juab,373532
376,bedford,373385
377,platte,373323
378,kings,372628
379,montgomery,372619
380,sussex,371796
381,boundary,371479
382,knox,370866
383,latah,370346
384,carroll,370326
385,lincoln,370043
386,dawson,369074
387,madison,369071
388,oakland,368741
389,addison,368644
390,isle of wight,368448
391,warren,366996
392,st. croix,366851
393,washington,365901
394,tarrant,365628
395,northumberland,365230
396,wright,364354
397,benton,363855
398,new haven,362561
399,kaufman,362085
400,rockingham,362081
401,mariposa,361589
402,hamilton,361252
403,kern,361090
404,shelby,360511
405,delta,360216
406,madison,360190
407,lake,360137
408,walla walla,360131
409,cecil,359901
410,grafton,359842
411,brazos,359841
412,paulding,359778
413,lake,359626
414,pima,359576
415,trinity,359438
416,colusa,359080
417,new castle,357896
418,iredell,357634
419,grant,356755
420,johnson,356386
421,tulare,356334
422,lincoln,356085
423,montrose,355519
424,volusia,355212
425,jefferson,354747
426,pennington,354603
427,dallas,354472
428,transylvania,354331
429,beaverhead,353575
430,watauga,353340
431,mathews,353236
432,custer,352965
433,lake,352701
434,custer,352566
435,matanuska-susitna borough,352449
436,granite,352439
437,wayne,352331
438,grays harbor,352080
439,duval,351879
440,anoka,351868
441,orange,351789
442,tolland,351693
443,saratoga,351689
444,mckenzie,351349
445,washington,351065
446,lake,350835
447,laramie,349936
448,greenville,349368
449,atlantic,348893
450,winchester city,348466
451,box elder,348436
452,bannock,348302
453,inyo,348206
454,johnston,348200
455,worcester,348151
456,bryan,347354
457,blount,347172
458,greene,346864
459,ramsey,346755
460,henry,346735
461,adams,346695
462,glynn,346468
463,cook,346253
464,madison,346238
465,sweet grass,345765
466,hendricks,345691
467,augusta,345586
468,belknap,345274
469,iron,345098
470,columbia,344700
471,currituck,344633
472,rice,344424
473,boise,344232
474,loudon,343993
475,burlington,343863
476,galveston,343078
477,st. charles,342995
478,middlesex,342743
479,geauga,342616
480,pasco,342163
481,dallas,340417
482,pend oreille,340131
483,olmsted,339494
484,baldwin,338870
485,alachua,338834
486,pueblo,338084
487,kent,338020
488,kane,337802
489,chatham,337096
