San Mateo County, California $ 1,582,169 $ 8,879 $ 5,818
Nantucket County, Massachusetts $ 1,563,861 $ 8,776 $ 6,179
Santa Clara County, California $ 1,512,497 $ 8,488 $ 5,452
Marin County, California $ 1,473,514 $ 8,269 $ 5,376
San Francisco County, California $ 1,464,880 $ 8,221 $ 5,453
Dukes County, Massachusetts $ 1,238,496 $ 6,950 $ 4,391
Teton County, Wyoming $ 1,232,564 $ 6,917 $ 4,366
New York County, New York $ 1,110,547 $ 6,232 $ 4,983
Santa Cruz County, California $ 1,082,135 $ 6,073 $ 4,480
Alameda County, California $ 1,077,467 $ 6,047 $ 4,059
Maui County, Hawaii $ 1,030,181 $ 5,781 $ 3,397
Orange County, California $ 1,029,214 $ 5,776 $ 3,919
Falls Church city, Virginia $ 981,739 $ 5,509 $ 4,042
Pitkin County, Colorado $ 980,126 $ 5,500 $ 3,235
Honolulu County, Hawaii $ 968,038 $ 5,433 $ 3,493
Kauai County, Hawaii $ 961,955 $ 5,398 $ 3,397
Summit County, Utah $ 960,154 $ 5,388 $ 3,915
Monroe County, Florida $ 954,012 $ 5,354 $ 3,184
Kings County, New York $ 936,335 $ 5,255 $ 3,770
San Diego County, California $ 934,402 $ 5,244 $ 3,501
King County, Washington $ 929,774 $ 5,218 $ 3,487
Arlington County, Virginia $ 912,761 $ 5,122 $ 3,647
Los Angeles County, California $ 890,716 $ 4,999 $ 3,493
San Luis Obispo County, California $ 882,047 $ 4,950 $ 3,289
Napa County, California $ 879,340 $ 4,935 $ 3,704
Contra Costa County, California $ 875,183 $ 4,911 $ 3,202
Ventura County, California $ 872,457 $ 4,896 $ 3,461
Williamson County, Tennessee $ 862,333 $ 4,839 $ 2,660
Santa Barbara County, California $ 862,274 $ 4,839 $ 3,697
Summit County, Colorado $ 861,486 $ 4,835 $ 3,220
Eagle County, Colorado $ 859,473 $ 4,823 $ 3,333
Monterey County, California $ 836,922 $ 4,697 $ 3,558
Gallatin County, Montana $ 829,979 $ 4,658 $ 2,166
Boulder County, Colorado $ 820,181 $ 4,603 $ 2,752
Sonoma County, California $ 818,928 $ 4,596 $ 3,465
San Benito County, California $ 811,499 $ 4,554 $ 2,874
Douglas County, Colorado $ 793,085 $ 4,451 $ 2,856
Middlesex County, Massachusetts $ 787,569 $ 4,420 $ 2,944
District of Columbia, District of Columbia$ 784,525 $ 4,403 $ 3,427
Suffolk County, Massachusetts $ 783,020 $ 4,394 $ 3,143
Routt County, Colorado $ 765,795 $ 4,298 $ 2,884
Loudoun County, Virginia $ 759,346 $ 4,261 $ 2,882
Snohomish County, Washington $ 759,090 $ 4,260 $ 2,741
Queens County, New York $ 757,755 $ 4,252 $ 3,087
Fairfax County, Virginia $ 757,472 $ 4,251 $ 2,939
San Juan County, Washington $ 743,640 $ 4,173 $ 3,020
Norfolk County, Massachusetts $ 740,967 $ 4,158 $ 2,922
Placer County, California $ 740,068 $ 4,153 $ 3,146
Alexandria city, Virginia $ 738,383 $ 4,144 $ 3,033
Nassau County, New York $ 731,552 $ 4,105 $ 2,887
Broomfield County, Colorado $ 724,898 $ 4,068 $ 2,803
