,OBJECTID,ZIP,ZIP_dbl,Weave_Zip_Census_ACS_Total_Popu,Total_Population_2011_2015_ACS,MedHomeSalePrice_2yrAvg_2005_07,MedHomeSalePrice_2yrAvg_2014_16,Chg_MedPrice_2005_07_2014_16,PctChg_MedPrice_2005_07_2014_16,AvgMoRent_2011_through_Nov,AvgMoRent_2016_through_Nov,Change_AvgMoRent_2011_2016,Pct_Change_AvgMoRent_2011_2016,Total_NegEquity_Millions_2015Q1,Total_Homes_NegEquity_2015Q1,Pct_Homes_wMortg_NegEqty_2015Q1,Total_NegEquity_Millions_2015Q2,Total_Homes_NegEquity_2015Q2,Pct_Homes_wMortg_NegEqty_2015Q2,Total_NegEquity_Millions_2016Q1,Total_Homes_NegEquity_2016Q1,Pct_Homes_wMortg_NegEqty_2016Q1,Total_NegEquity_Millions_2016Q3,Total_Homes_NegEquity_2016Q3,Pct_Homes_wMortg_NegEqty_2016Q3,GlobalID,last_edited_date
0,1,30501,30501,28048.0,27743.0,145988.0,127335.0,-18653.0,-0.128,981.0,1123.0,142.0,14.5,-34.9,453.2,17.8,-34.4,444.3,17.5,-23.7468678,299.0,14.9,-22.1,244.0,12.2,{42B5EF7D-F613-486E-B9ED-9B4B585D461D},
1,2,30543,30543,4487.0,4434.0,,,,,951.0,1108.0,157.0,16.5,-6.3,185.7,22.2,-5.5,184.2,22.1,-2.5329285,82.0,11.8,-2.6,64.0,9.2,{CA696EB2-36CE-46DC-B3FE-25C841E5A5C8},
2,3,30121,30121,22078.0,22521.0,137364.0,126071.0,-11293.0,-0.082,947.0,1029.0,82.0,8.7,-33.5,775.1,21.4,-31.0,699.9,19.3,-26.02710987,478.0,14.2,-21.7,288.0,8.6,{35479798-AA3E-4D69-877D-B3AA3BAADFF2},
3,4,30178,30178,3468.0,3307.0,,,,,1051.0,1080.0,29.0,2.8,-3.1,123.8,17.4,-3.5,89.6,12.6,-1.844438,67.0,7.5,-3.0,75.0,8.4,{1A5F887D-7374-4B3B-B485-92A5C4685776},
4,5,30137,30137,1650.0,1470.0,,,,,910.0,905.0,-5.0,-0.6,-3.3,70.8,23.5,-3.5,73.6,24.5,-3.02242285,70.0,25.9,-2.4,44.0,16.1,{2CC6E527-8FA9-433F-8740-BBA346AACA6B},
5,6,30117,30117,34296.0,35169.0,121768.0,110705.0,-11063.0,-0.091,871.0,918.0,47.0,5.4,-42.4,938.4,21.7,-46.0,925.6,21.4,-33.86219585,658.0,15.5,-31.3,526.0,12.4,{F231DF09-7B7F-4D27-A937-B751FCF03124},
6,7,30116,30116,23156.0,23090.0,135951.0,115027.0,-20924.0,-0.154,909.0,976.0,67.0,7.3,-35.1,942.2,20.6,-35.7,943.2,20.7,-24.81415649,614.0,14.2,-22.6,478.0,11.1,{25393505-FC94-4D30-B721-FE9C020E8F33},
7,8,30108,30108,7256.0,7508.0,,,,,848.0,842.0,-6.0,-0.7,-8.9,226.7,18.1,-8.6,216.5,17.3,-6.13383046,174.0,16.0,-5.4,123.0,11.3,{83EE4064-AD82-46D9-8E1C-29C53BFC1812},
8,9,30265,30265,31713.0,33553.0,192496.0,198828.0,6332.0,0.033,1272.0,1448.0,176.0,13.8,-77.1,1092.9,14.6,-69.4,926.8,12.4,-70.96468675,787.0,10.1,-63.8,615.0,7.9,{06D2265F-2A36-4EC7-B687-83989281DF74},
9,10,30170,30170,2994.0,3324.0,,,,,929.0,924.0,-5.0,-0.6,-4.9,99.6,18.0,-4.9,99.2,17.9,-4.00401645,84.0,13.0,-4.8,93.0,14.2,{2AF23865-3800-4DE2-B079-06F6B643C2B6},
10,11,30277,30277,20270.0,22098.0,199243.0,206027.0,6784.0,0.034,1319.0,1483.0,164.0,12.5,-39.1,548.9,10.4,-44.1,479.1,9.1,-37.84802797,409.0,7.9,-29.6,285.0,5.5,{72CACD15-862C-4810-888D-FA17DB6A1C65},
11,12,30276,30276,13866.0,14283.0,199154.0,202152.0,2998.0,0.015,1207.0,1374.0,167.0,13.9,-27.6,431.8,12.4,-26.1,368.6,10.6,-26.34488705,316.0,8.6,-22.8,254.0,6.9,{0066E013-BFF9-4391-97A1-E2281FA6767C},
12,13,30223,30223,36769.0,36116.0,115956.0,69824.0,-46132.0,-0.398,863.0,803.0,-61.0,-7.0,-70.4,1778.8,33.1,-67.9,1750.4,32.6,-58.05624606,1468.0,28.7,-52.4,1278.0,25.0,{23FFFFD4-9823-4D7A-A3CA-74A9F049B357},
13,14,30259,30259,3041.0,2764.0,,,,,1160.0,1275.0,115.0,9.9,-3.4,78.2,11.7,-2.2,60.7,9.1,-2.32089574,45.0,6.8,-2.3,40.0,6.1,{C9E80A6B-80CE-4CD3-8FBF-261A71551D3C},
14,15,30220,30220,5533.0,4909.0,,,,,941.0,959.0,18.0,1.9,-11.8,339.8,30.7,-10.1,257.3,23.2,-6.4908836,143.0,16.6,-5.3,99.0,11.4,{6F20CAF9-D9FD-4BE6-A3F9-3F740905E1DC},
15,16,30224,30224,25197.0,24603.0,134762.0,110462.0,-24300.0,-0.18,956.0,933.0,-23.0,-2.4,-55.5,1423.2,32.0,-58.6,1385.1,31.1,-45.30237146,1086.0,27.4,-35.2,825.0,20.8,{0E6B0FDE-A775-4399-B957-5CFC84789CAE},
16,17,30115,30115,35672.0,37964.0,227991.0,235968.0,7977.0,0.035,1371.0,1531.0,161.0,11.7,-67.3,1040.9,12.4,-58.3,831.5,9.9,-48.12891868,589.0,6.9,-36.8,386.0,4.5,{1231761D-5D0C-46C4-ABFE-D8011B092571},
17,18,30004,30004,53033.0,60229.0,270222.0,312915.0,42693.0,0.158,1772.0,2165.0,392.0,22.1,-169.2,1179.0,9.5,-154.4,1058.8,8.5,-143.6399109,900.0,7.5,-131.4,768.0,6.4,{7F37F44E-8999-4147-AD43-99BCFF181703},
18,19,30189,30189,36859.0,37259.0,195556.0,202252.0,6696.0,0.034,1294.0,1494.0,200.0,15.5,-66.1,1019.8,11.2,-55.3,746.9,8.2,-36.12190936,488.0,5.8,-35.8,409.0,4.9,{2D127083-8509-4A42-92F5-985004AD8760},
19,20,30075,30075,52573.0,54858.0,296779.0,334344.0,37565.0,0.127,1806.0,2214.0,408.0,22.6,-123.4,996.4,7.6,-124.5,965.3,7.4,-107.4898874,815.0,6.4,-92.7,648.0,5.1,{6402CE07-C298-4055-BE1C-2F5FCAD16552},
20,21,30097,30097,41715.0,44256.0,345917.0,342381.0,-3536.0,-0.01,1951.0,2356.0,404.0,20.7,-122.4,857.9,9.4,-115.9,776.2,8.5,-97.16334181,613.0,7.2,-96.2,537.0,6.4,{C5B48B98-976D-470E-B369-29FC90EC8977},
21,22,30022,30022,64359.0,68274.0,286055.0,310248.0,24193.0,0.085,1821.0,2207.0,386.0,21.2,-179.5,1227.0,8.2,-188.2,1176.5,7.8,-162.7335762,985.0,6.9,-145.8,862.0,6.0,{5EBA46F8-3D5A-4E01-95E5-D5B04B4E1BEB},
22,23,30043,30043,80241.0,86259.0,191579.0,180573.0,-11006.0,-0.057,1256.0,1420.0,164.0,13.0,-156.9,2495.5,14.4,-149.5,2110.6,12.2,-112.0770313,1436.0,9.0,-106.5,1103.0,6.9,{99AD08F7-E497-4497-B8AD-C32A780DE6B4},
23,24,30096,30096,62265.0,69237.0,172394.0,179313.0,6919.0,0.04,1201.0,1361.0,160.0,13.3,-108.2,1545.4,16.0,-106.8,1337.9,13.8,-82.36593541,853.0,9.9,-79.8,683.0,7.9,{76A46361-969D-4A9D-9EEF-38CC661A6EC0},
24,25,30092,30092,31704.0,33357.0,238961.0,243574.0,4613.0,0.019,1563.0,1818.0,255.0,16.3,-58.4,650.0,12.1,-56.5,588.3,10.9,-42.75679646,398.0,7.8,-44.5,328.0,6.5,{776CCDD5-4138-4CF0-B10B-E52C31D84720},
25,26,30068,30068,31595.0,32068.0,301598.0,346635.0,45037.0,0.149,1849.0,2241.0,392.0,21.2,-74.7,544.4,7.1,-74.2,527.5,6.9,-66.9890746,468.0,6.5,-57.1,386.0,5.4,{76B4D141-F53A-450A-A1D6-3E0D05F6F0C4},
26,27,30071,30071,23005.0,24286.0,151189.0,146943.0,-4246.0,-0.028,1014.0,1232.0,218.0,21.5,-56.3,946.9,28.9,-51.1,836.2,25.5,-31.45090125,434.0,17.5,-28.6,330.0,13.3,{542D06F2-738D-47EF-A4AF-3C7788C63461},
27,28,30338,30338,33617.0,33666.0,354815.0,366808.0,11993.0,0.034,2049.0,2518.0,469.0,22.9,-60.3,582.6,9.3,-56.3,488.3,7.8,-48.35961511,354.0,6.0,-44.6,288.0,4.9,{109EF3D7-CBA4-40C9-AD2A-DBC67CC9D520},
28,29,30067,30067,45182.0,47556.0,170524.0,188430.0,17906.0,0.105,1220.0,1440.0,220.0,18.0,-124.5,1327.2,21.0,-118.8,1204.2,19.0,-104.488276,929.0,15.2,-111.6,732.0,11.9,{856D2DBC-4C96-460B-848C-B99F46850806},
29,30,30360,30360,14536.0,15744.0,226450.0,269941.0,43491.0,0.192,1336.0,1667.0,331.0,24.8,-27.9,361.5,16.2,-27.2,309.8,13.9,-23.53229459,238.0,11.2,-20.7,183.0,8.6,{234EE7DC-04F5-4014-906B-6A50942A7A80},
30,31,30044,30044,79701.0,86523.0,162035.0,142343.0,-19692.0,-0.122,1106.0,1273.0,167.0,15.1,-181.9,3572.3,22.9,-166.6,2910.7,18.6,-112.1194764,1682.0,12.6,-98.6,1172.0,8.8,{2D37740F-B3F0-4772-B1E8-CFC7A1139B92},
31,32,30328,30328,30348.0,34456.0,270921.0,271126.0,205.0,0.001,1725.0,2251.0,526.0,30.5,-132.4,1015.4,16.0,-130.6,905.8,14.2,-101.1194793,674.0,11.5,-99.1,576.0,9.8,{7712A5FA-A49D-49BE-B3FB-A6A9D62BC9E2},
