company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Buffalo Wild Wings,2040 Highway 95,,Bullhead City,AZ,86442-6003,US,35.11348724,-114.59819794,2022-12-05 06:22:58
Buffalo Wild Wings,2985 N Centre Court,,Prescott Valley,AZ,86314-1252,US,34.58612061,-112.34004211,2022-12-05 07:36:08
Buffalo Wild Wings,2700 S. Woodlands Village Blvd.,Suite 550,Flagstaff,AZ,86001-2975,US,35.17657471,-111.66601562,2022-12-05 05:53:33
Buffalo Wild Wings,2640 Airline Drive,,Bossier City,LA,71111,US,32.55199814,-93.70905304,2022-12-05 07:36:08
Buffalo Wild Wings,7441 Youree Drive,,Shreveport,LA,71105-5535,US,32.44195175,-93.71631622,2022-12-05 07:36:08
Buffalo Wild Wings,"205 Constitution, Suite 4",,West Monroe,LA,71292,US,32.50613403,-92.15962982,2022-12-05 07:36:08
Buffalo Wild Wings,808 Lake Harbour Drive,,Ridgeland,MS,39157-1004,US,32.41423035,-90.11077118,2022-12-05 07:36:08
Buffalo Wild Wings,766 MacKenzie Lane,,Flowood,MS,39232,US,32.33751678,-90.06494904,2022-12-05 07:36:08
Buffalo Wild Wings,7206 Alcoa Road,,Bryant,AR,72022,US,34.60269547,-92.53488159,2022-12-05 07:36:08
Buffalo Wild Wings,2315 West Jackson Avenue,,Oxford,MS,38655,US,34.36349869,-89.56459808,2022-12-05 06:22:58
Buffalo Wild Wings,6550 Rogers Avenue,,Fort Smith,AR,72903,US,35.35654831,-94.36092377,2022-12-05 05:53:37
Buffalo Wild Wings,675 Amity Road,,Conway,AR,72032,US,35.08773041,-92.41659546,2022-12-05 07:36:08
Buffalo Wild Wings,14800 Cantrell Road,,Little Rock,AR,72223-4244,US,34.80184937,-92.43701172,2022-12-05 07:36:08
Buffalo Wild Wings,4600 Silver Creek Drive,,Sherwood,AR,72120,US,34.8062439,-92.21165466,2022-12-05 07:36:08
Buffalo Wild Wings,7188 Airways Blvd.,Lot 2,Southaven,MS,38671-6104,US,34.96504211,-89.98967743,2022-12-05 05:53:33
Buffalo Wild Wings,7995 Craft- Goodman Frontage Rd.,,Olive Branch,MS,38654-6609,US,34.96387863,-89.84745789,2022-12-05 05:53:33
Buffalo Wild Wings,3770 Hack's Cross Rd.,,Memphis,TN,38125-2303,US,35.045681,-89.79537201,2022-12-05 05:53:33
Buffalo Wild Wings,8385 US Hwy. 64,Ste. 101,Memphis,TN,38133-8187,US,35.20424271,-89.78369904,2022-12-05 05:53:33
Buffalo Wild Wings,8544 N US Hwy 51,Ste. 101,Millington,TN,38053-1515,US,35.35971451,-89.89226532,2022-12-05 05:53:33
Buffalo Wild Wings,2015 Birch Rd.,Ste. 715,Chula Vista,CA,91915-2007,US,32.62113571,-116.9661026,2022-12-05 05:53:40
Buffalo Wild Wings,555 Broadway,Ste. 116,Chula Vista,CA,91910-5340,US,32.63043976,-117.08715057,2022-12-05 05:53:40
Buffalo Wild Wings,2685 Vista Way,,Oceanside,CA,92054-6342,US,33.18320847,-117.32949066,2022-12-05 05:53:34
Buffalo Wild Wings,26711 Aliso Creek Road #100B,,ALISO VIEJO,CA,92656,US,33.575634,-117.72712708,2022-12-05 05:53:34
Buffalo Wild Wings,1068 N El Camino Real,,Encinitas,CA,92024-1320,US,33.0672493,-117.26343536,2022-12-05 05:53:34
Buffalo Wild Wings,"27741 Crown Valley Pkwy, Suite 303",,Mission Viejo,CA,92691,US,33.56117249,-117.67196655,2022-12-05 05:53:34
Buffalo Wild Wings,"1835 F. Newport Blvd., Building F",,Costa Mesa,CA,92627,US,33.64121246,-117.91882324,2022-12-05 07:36:08
Buffalo Wild Wings,23600 Rockfield Blvd.,,Lake Forest,CA,92630-1624,US,33.62926102,-117.71879578,2022-12-05 05:53:34
Buffalo Wild Wings,1010 San Marcos Blvd.,,San Marcos,CA,92078-4053,US,33.13492203,-117.18836975,2022-12-05 05:53:34
Buffalo Wild Wings,3811 S Bristol Ave.,,Santa Ana,CA,92704-7426,US,33.69673538,-117.88486481,2022-12-05 07:36:08
Buffalo Wild Wings,3615 Midway Dr.,,San Diego,CA,92110-5251,US,32.75231934,-117.21546173,2022-12-05 05:53:40
Buffalo Wild Wings,254 Town Center Pkwy.,,Santee,CA,92071-5803,US,32.84334564,-116.9842453,2022-12-05 05:53:40
Buffalo Wild Wings,1640 Camino Del Rio N,Ste. 1376,Mission Valley,CA,92108-1534,US,32.76854706,-117.14849854,2022-12-05 05:53:40
Buffalo Wild Wings,32401 Temecula Parkway,,Temecula,CA,92592,US,33.48178482,-117.09222412,2022-12-05 07:36:08
Buffalo Wild Wings,40484 Murrieta Hot Springs Road,Suite 104 & 105,Murrieta,CA,92563-6437,US,33.55513,-117.17925262,2022-12-05 07:36:08
Buffalo Wild Wings,30123 Haun Rd.,,Menifee,CA,92584,US,33.6836853,-117.17622375,2022-12-05 07:36:08
Buffalo Wild Wings,510 E Danenberg Dr.,,El Centro,CA,92243-8510,US,32.76737213,-115.53338623,2022-12-05 05:53:40
Buffalo Wild Wings,1317 South Yuma Palms Parkway,,Yuma,AZ,85365-1716,US,32.70254135,-114.60493469,2022-12-05 05:53:40
Buffalo Wild Wings,1600 E Gonzales Rd.,,Oxnard,CA,93036-3700,US,34.2180481,-119.16041565,2022-12-05 06:22:58
Buffalo Wild Wings,1555 Simi Town Center Way,Ste. 300,Simi Valley,CA,93065-0518,US,34.28428268,-118.77243042,2022-12-05 06:22:58
Buffalo Wild Wings,9301 Tampa Ave.,,Northridge,CA,91324-2503,US,34.2401886,-118.55673218,2022-12-05 06:22:58
Buffalo Wild Wings,15301 Ventura Blvd.,Ste. P16,Sherman Oaks,CA,91403-3102,US,34.15539169,-118.46677399,2022-12-05 06:22:58
Buffalo Wild Wings,6081 Center Dr.,Ste. 105,Los Angeles,CA,90045-8830,US,33.9780426,-118.39225006,2022-12-05 07:36:08
Buffalo Wild Wings,7060 Hollywood Blvd.,,Los Angeles,CA,90028-6014,US,34.10134125,-118.34342957,2022-12-05 06:22:58
Buffalo Wild Wings,"3525 West Carson Street, Suite 163",,Torrance,CA,90503-5738,US,33.83375168,-118.34707642,2022-12-05 07:36:08
Buffalo Wild Wings,"3150 Wilshire Blvd., Suite 100",,Los Angeles,CA,90010,US,34.06116104,-118.29091644,2022-12-05 07:36:08
Buffalo Wild Wings,127 East Palm Avenue,,Burbank,CA,91502,US,34.1814537,-118.31168365,2022-12-05 06:22:58
Buffalo Wild Wings,19252 Soledad Canyon Road,,Canyon Country,CA,91351,US,34.41524887,-118.47129822,2022-12-05 06:22:58
Buffalo Wild Wings,736 Del Amo Blvd.,,Carson,CA,90746,US,33.84708786,-118.26243591,2022-12-05 07:36:08
Buffalo Wild Wings,142-C South Brand Street,,Glendale,CA,91205,US,34.14525223,-118.25479889,2022-12-05 06:22:58
Buffalo Wild Wings,1000 S. Fair Oaks Avenue,,PASADENA,CA,91105,US,34.12860107,-118.14989471,2022-12-05 06:22:58
Buffalo Wild Wings,10033 Whittwood Dr.,,Whittier,CA,90603-2313,US,33.94556046,-117.99920654,2022-12-05 07:36:08
Buffalo Wild Wings,1576 S Azusa Ave.,,City of Industry,CA,91748-1603,US,33.99568558,-117.92555237,2022-12-05 07:36:08
Buffalo Wild Wings,4000 Marketplace Drive,#104,Monterey Park,CA,90640,US,34.03659821,-118.09980011,2022-12-05 07:36:08
Buffalo Wild Wings,2548 East Workman Avenue,,West Covina,CA,91791,US,34.07485199,-117.8911972,2022-12-05 07:36:08
Buffalo Wild Wings,260 South Brea Blvd.,,Brea,CA,92821,US,33.917099,-117.89968109,2022-12-05 07:36:08
Buffalo Wild Wings,193 Stonewood Court,,Downey,CA,90241-3904,US,33.93569565,-118.12109375,2022-12-05 07:36:08
Buffalo Wild Wings,8301b On the Mall,,Buena Park,CA,90620,US,33.84563065,-117.98919678,2022-12-05 07:36:08
Buffalo Wild Wings,11255 E 183rd St.,,Cerritos,CA,90703-5417,US,33.86622238,-118.09420776,2022-12-05 07:36:08
Buffalo Wild Wings,4678 Daneland St.,,Lakewood,CA,90712-2502,US,33.85287476,-118.13851166,2022-12-05 07:36:08
Buffalo Wild Wings,1500 E Village Way,Ste. 2203,Orange,CA,92865-3642,US,33.82743454,-117.83763885,2022-12-05 07:36:08
Buffalo Wild Wings,3160 Chino Avenue,,Chino Hills,CA,91709-3518,US,34.01118088,-117.73680878,2022-12-05 07:36:08
Buffalo Wild Wings,"20 City Boulevard, Suite 901",,Orange,CA,92868,US,33.78352737,-117.89341736,2022-12-05 07:36:08
Buffalo Wild Wings,6314 E Pacific Coast Hwy.,,Long Beach,CA,90803-4804,US,33.76015854,-118.11489105,2022-12-05 07:36:08
Buffalo Wild Wings,4955 South Montclair Plaza Lane,,Montclair,CA,91763,US,34.0847702,-117.69678497,2022-12-05 07:36:08
Buffalo Wild Wings,"7811 Edinger Avenue, Suite 124",,Huntington Beach,CA,92647,US,33.73297882,-117.99203491,2022-12-05 07:36:08
Buffalo Wild Wings,690 East Hospitality Lane,,San Bernardino,CA,92408,US,34.06609344,-117.27104187,2022-12-05 07:36:08
