company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Burger King,611 Sidney Baker St,,KERRVILLE,TX,78028-4555,US,30.05010033,-99.13703156,2022-12-18 06:25:16
Burger King,979 Main St,,BANDERA,TX,78003-3571,US,29.72961426,-99.0772934,2022-12-16 15:27:55
Burger King,1102 South State Highway 16,,Fredericksburg,TX,78624,US,30.26013947,-98.88415527,2022-12-18 06:25:16
Burger King,1327 South Main,,BOERNE,TX,78006-2821,US,29.78000641,-98.72859955,2022-12-18 06:25:13
Burger King,13045 Bandera RD,,HELOTES,TX,78023-4601,US,29.56418037,-98.68782806,2022-12-18 06:25:13
Burger King,"AAFES Mini-mall, BLDG 5184, RR2",,SAN ANTONIO,TX,78257-9544,US,29.63643456,-98.57706451,2022-12-18 06:25:13
Burger King,11006 FM 471,,SAN ANTONIO,TX,78253-0000,US,29.49570084,-98.71080017,2022-12-18 06:25:13
Burger King,5218 Dezavala Road,,SAN ANTONIO,TX,78249-1713,US,29.56443024,-98.58628082,2022-12-18 06:25:13
Burger King,7997 Bandera Rd.,,SAN ANTONIO,TX,78250-6511,US,29.51471138,-98.63457489,2022-12-18 06:25:13
Burger King,5562 Tezel Road,,SAN ANTONIO,TX,78250-4194,US,29.48706436,-98.66571045,2022-12-18 06:25:13
Burger King,334 Singing Oaks,,Spring Branch,TX,78070,US,29.80020714,-98.41963959,2022-12-18 06:25:13
Burger King,2002 N Loop 1604 W,,SAN ANTONIO,TX,78248-4547,US,29.60738945,-98.52384949,2022-12-18 06:25:13
Burger King,14235 Potranco Road,,San Antonio,TX,78254,US,29.42183685,-98.77747345,2022-12-18 06:25:15
Burger King,822 Evans Road Suite 107,,San Antonio,TX,78258,US,29.64301491,-98.48107147,2022-12-18 06:25:13
Burger King,10903 Potranco Rd.,,SAN ANTONIO,TX,78251-3340,US,29.43569565,-98.70606232,2022-12-18 06:25:13
Burger King,8767 SH 151,,San Antonio,TX,78245,US,29.44304466,-98.6636734,2022-12-18 06:25:13
Burger King,5007 North West Loop 410,,SAN ANTONIO,TX,78229-5313,US,29.48831177,-98.5861969,2022-12-18 06:25:09
Burger King,405 US Hwy 90 E,Suite A,Hondo,TX,78861,US,29.34879684,-99.11430359,2022-12-18 06:25:21
Burger King,22119 Bulverde Road,,San Antonio,TX,78259,US,29.6474781,-98.42549896,2022-12-18 06:25:13
Burger King,8296 Marbach Road,,SAN ANTONIO,TX,78227-1600,US,29.4178257,-98.65409851,2022-12-18 06:25:13
Burger King,6003 West Avenue,,SAN ANTONIO,TX,78213-0000,US,29.51600838,-98.52619171,2022-12-18 06:25:09
Burger King,3400 Fredricksburg,,SAN ANTONIO,TX,78201-3847,US,29.4744873,-98.53554535,2022-12-18 06:25:09
Burger King,8922 Airport Blvd,,San Antonio,TX,78216,US,29.52153397,-98.47681427,2022-12-18 06:25:09
Burger King,1530 Femoyer St,,LACKLAND AFB,TX,78236-5475,US,29.39253616,-98.62981415,2022-12-18 06:25:12
Burger King,420 Valley Hi,,SAN ANTONIO,TX,78227-4604,US,29.38044357,-98.64057922,2022-12-18 06:25:13
Burger King,4520 West Commerce,,SAN ANTONIO,TX,78237-1668,US,29.43009567,-98.55091095,2022-12-18 06:25:09
Burger King,Building 1286,,LACKLAND AFB,TX,78236-0000,US,29.38289452,-98.59449005,2022-12-18 06:25:09
Burger King,16711 Nacagdoches Road,,SAN ANTONIO,TX,78266-2801,US,29.59281731,-98.35093689,2022-12-18 06:25:15
Burger King,2449 Winfield Scott Rd,Ft Sam Houston-Building 382,San Antonio,TX,78234,US,29.44824791,-98.45072937,2022-12-18 06:25:09
Burger King,1515 North New Braunfels Ave,,SAN ANTONIO,TX,78208-2010,US,29.4373455,-98.46115112,2022-12-18 06:25:09
Burger King,1387 Hardee Road,,FORT SAM HOUSTON,TX,78234-0000,US,29.46246529,-98.43466187,2022-12-18 06:25:09
Burger King,5013 Walzem Rd,,WINDCREST,TX,78218-2118,US,29.51076508,-98.39031219,2022-12-18 06:25:09
Burger King,2732 Military Drive SW,,SAN ANTONIO,TX,78224-1001,US,29.35623932,-98.54105377,2022-12-18 06:25:09
Burger King,4618 Rittiman Road,,SAN ANTONIO,TX,78218-4628,US,29.48371887,-98.40119171,2022-12-18 06:25:09
Burger King,14710 I-H 35 South,,VON ORMY,TX,78073-3901,US,29.27762032,-98.66829681,2022-12-18 06:25:13
Burger King,19380 McDonald Street,,Lytle,TX,78052,US,29.23204041,-98.78888702,2022-12-18 06:25:21
Burger King,3600 George C Beach Ave,,FORT SAM HOUSTON,TX,78234-7511,US,29.45824814,-98.41555023,2022-12-18 06:25:09
Burger King,8131 Pat Booker Rd,,LIVE OAK,TX,78233-2600,US,29.56205559,-98.32929993,2022-12-18 06:25:09
Burger King,211 S. W. Military Drive,,SAN ANTONIO,TX,78221-1615,US,29.35710144,-98.49497986,2022-12-18 06:25:09
Burger King,6359 Rittiman Rd,,San Antonio,TX,78218,US,29.48020935,-98.36174774,2022-12-18 06:25:09
