company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Caribou,68 Snelling Avenue South,,68 Snelling Avenue South,MN,55105,US,44.9394722,-93.16642761,2022-11-15 08:39:49
Caribou,1817 Randolph Avenue,,1817 Randolph Avenue,MN,55105,US,44.92733002,-93.17687225,2022-11-15 08:39:49
Caribou,1055 Grand Avenue,,1055 Grand Avenue,MN,55105,US,44.94015884,-93.1444397,2022-11-15 08:39:49
Caribou,757 Grand Avenue,,757 Grand Avenue,MN,55105,US,44.94018555,-93.13212585,2022-11-15 08:39:49
Caribou,2134 Ford Parkway,,2134 Ford Parkway,MN,55116,US,44.91741943,-93.19100952,2022-11-15 08:39:49
Caribou,2170 Ford Parkway,,2170 Ford Parkway,MN,55116,US,44.91786194,-93.19216919,2022-11-15 08:39:49
Caribou,2340 West 7th Street,,2340 West 7th Street,MN,55116,US,44.90390778,-93.16492462,2022-11-15 08:39:49
Caribou,444 Cedar Street,,444 Cedar Street,MN,55101,US,44.94807434,-93.09408569,2022-11-15 08:39:49
Caribou,115 East 10th Street,,115 East 10th Street,MN,55101,US,44.95141602,-93.09528351,2022-11-15 08:39:49
Caribou,401 Robert Street,,401 Robert Street,MN,55101,US,44.94865036,-93.09229279,2022-11-15 08:39:49
Caribou,720 Main Street,,720 Main Street,MN,55118,US,44.8845253,-93.12036133,2022-11-15 08:39:49
Caribou,4300 Glumack Drive,,4300 Glumack Drive,MN,55111,US,44.88454437,-93.21065521,2022-11-15 08:39:49
Caribou,917 Washington Avenue SE,,917 Washington Avenue SE,MN,55414,US,44.97412491,-93.22483826,2022-11-15 08:39:49
Caribou,1127 Larpenteur Avenue W,,1127 Larpenteur Avenue W,MN,55113,US,44.99270248,-93.14762115,2022-11-15 08:39:49
Caribou,4300 Glumack Drive,,4300 Glumack Drive,MN,55111,US,44.8833046,-93.2134552,2022-11-15 08:39:49
Caribou,4300 Glumack Drive,,4300 Glumack Drive,MN,55111,US,44.88214111,-93.2121048,2022-11-15 08:39:49
Caribou,4745 Cedar Avenue South,,4745 Cedar Avenue South,MN,55407,US,44.91657257,-93.24692535,2022-11-15 08:39:49
Caribou,1193 South Robert Street,,1193 South Robert Street,MN,55118,US,44.91021347,-93.08123779,2022-11-15 08:39:49
Caribou,604 Washington Ave SE,,604 Washington Ave SE,MN,55414,US,44.97346115,-93.2298584,2022-11-15 08:39:49
Caribou,515 Delaware Street SE,,515 Delaware Street SE,MN,55455,US,44.97299576,-93.23165131,2022-11-15 08:39:49
