company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Pizza Hut,"2600 W Sahara Ave, Suite 102",,Las Vegas,NV,89102,US,36.14519882,-115.17700195,2022-12-18 06:25:08
Pizza Hut,1131 Tropicana Ave Suite B,,Las Vegas,NV,89119,US,36.10010147,-115.13800049,2022-12-18 06:25:08
Pizza Hut,5255 S. Decatur Blvd.,,Las Vegas,NV,89118,US,36.09469986,-115.20899963,2022-12-18 06:25:08
Pizza Hut,1840 East Charleston Blvd.,,Las Vegas,NV,89104,US,36.15790176,-115.12400055,2022-12-18 06:25:08
Pizza Hut,3050 E Desert Inn Rd.,,Las Vegas,NV,89121,US,36.13059998,-115.10900116,2022-12-18 06:25:08
Pizza Hut,6370 W Flamingo Rd.,,Las Vegas,NV,89103,US,36.11520004,-115.23200226,2022-12-18 06:25:08
Pizza Hut,274 S Decatur Blvd,,Las Vegas,NV,89107,US,36.17100143,-115.20700073,2022-12-18 06:25:08
Pizza Hut,2625 E Tropicana Ave Ste H,,Las Vegas,NV,89121,US,36.09930038,-115.11399841,2022-12-18 06:25:08
Pizza Hut,931 S Rainbow Blvd,,Las Vegas,NV,89145,US,36.16070175,-115.24500275,2022-12-18 06:25:08
Pizza Hut,4620 E Flamingo Rd. Suite A,,Las Vegas,NV,89121,US,36.11579895,-115.07299805,2022-12-18 06:25:08
Pizza Hut,2509 E Lake Mead Blvd,,North Las Vegas,NV,89030,US,36.19549942,-115.11599731,2022-12-18 06:25:08
Pizza Hut,6130 W Lake Mead Blvd,,Las Vegas,NV,89108,US,36.19720078,-115.22399902,2022-12-18 06:25:10
Pizza Hut,4450 E Charleston Blvd Ste 1,,Las Vegas,NV,89110,US,36.15999985,-115.07800293,2022-12-18 06:25:08
Pizza Hut,445 E Windmill Lane,,Las Vegas,NV,89123,US,36.04150009,-115.15299988,2022-12-18 06:25:08
Pizza Hut,4440 S Durango Dr Ste H,,Las Vegas,NV,89147,US,36.10879898,-115.27799988,2022-12-18 06:25:10
Pizza Hut,"5105 E. Sahara Ave., suite K",,Las Vegas,NV,89142,US,36.14440155,-115.06300354,2022-12-18 06:25:08
Pizza Hut,560 N. Nellis Blvd.,,Las Vegas,NV,89110,US,36.1692009,-115.06199646,2022-12-18 06:25:08
Pizza Hut,8140 S. Eastern Ave.,,Las Vegas,NV,89123,US,36.04180145,-115.11699677,2022-12-18 06:25:08
Pizza Hut,7645 S. Rainbow Blvd.,,Las Vegas,NV,89139,US,36.04959869,-115.2440033,2022-12-18 06:25:08
Pizza Hut,9014 West Sahara Ave.,,Las Vegas,NV,89117,US,36.145401,-115.29499817,2022-12-18 06:25:10
Pizza Hut,3925 Martin Luther King Jr. Blvd.,,North Las Vegas,NV,89030,US,36.23059845,-115.16300201,2022-12-18 06:25:08
Pizza Hut,3101 Las Vegas Blvd N,,Las Vegas,NV,89115,US,36.2154007,-115.09799957,2022-12-18 06:25:08
Pizza Hut,4945 W Craig Rd.,,Las Vegas,NV,89130,US,36.23799896,-115.20999908,2022-12-18 06:25:13
Pizza Hut,345 E Silverado Ranch Blvd,,Las Vegas,NV,89183,US,36.01279831,-115.15699768,2022-12-18 06:25:08
