company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Sonic,3340 East Flamingo Road,,Las Vegas,NV,89121,US,36.1174202,-115.1014328,2022-12-18 06:25:10
Sonic,5399 International Drive,,Orlando,FL,32819,US,28.46283722,-81.45207977,2022-12-18 07:39:42
Sonic,242 South Semoran Blvd,,Orlando,FL,32807,US,28.5410862,-81.31119537,2022-12-18 06:25:10
Sonic,4350 West 13th Street,,Saint Cloud,FL,34769,US,28.25332642,-81.31537628,2022-12-18 07:39:42
Sonic,155 East Sr 434,,Longwood,FL,32750,US,28.69828606,-81.34503174,2022-12-18 06:25:10
Sonic,1051 Cypress Parkway,,Kissimmee,FL,34759,US,28.14797974,-81.44439697,2022-12-18 07:39:42
Sonic,1055 Broadway Street,,Oviedo,FL,32765,US,28.67011452,-81.1900177,2022-12-18 06:25:10
Sonic,415 Magnolia Avenue,,Auburndale,FL,33823,US,28.05822372,-81.78833771,2022-12-18 07:39:42
Sonic,1221 Saxon Boulevard,,Orange City,FL,32763,US,28.91169739,-81.27790833,2022-12-18 06:25:10
Sonic,9740 Gaston Road,,Katy,TX,77494,US,29.73527908,-95.81111908,2022-12-16 15:27:40
Sonic,5220 Fm 1463,,Fulshear,TX,77494,US,29.71687889,-95.84684753,2022-12-16 15:27:40
Sonic,25022 Fm 1093 Road,,Katy,TX,77494,US,29.69847298,-95.81136322,2022-12-16 15:27:40
Sonic,23802 Westheimer Parkway,,Cinco Ranch,TX,77494,US,29.73514366,-95.77757263,2022-12-16 15:27:53
Sonic,5451 Highway Boulevard,,Katy,TX,77450,US,29.78537369,-95.81954193,2022-12-16 15:27:53
Sonic,"30575 Kingsland Boulevard, Suite 100",,Brookshire,TX,77423,US,29.76836777,-95.90065002,2022-12-16 15:27:40
Sonic,1530 S. Mason Road,,Katy,TX,77450,US,29.76023674,-95.75209808,2022-12-16 15:27:53
Sonic,1438 West Grand Parkway,,Katy,TX,77449,US,29.79347038,-95.77603912,2022-12-16 15:27:53
Sonic,3702 Queens Boulevard,,Long Island City,NY,11101,US,40.74369812,-73.92799377,2022-12-16 15:27:37
Sonic,156 Route 17 North,,Hasbrouck Heights,NJ,07604,US,40.85459518,-74.07111359,2022-12-18 06:25:13
Sonic,100 Bayonne Crossing Way,,Bayonne,NJ,07002,US,40.66358185,-74.10722351,2022-12-16 15:27:37
Sonic,189-237 Springfield Avenue,,Newark,NJ,07103,US,40.73458862,-74.18753052,2022-12-16 15:27:37
Sonic,573 Spring Street,,Elizabeth,NJ,07201,US,40.67221832,-74.20021057,2022-12-16 15:27:37
Sonic,750 West Sunrise Highway,,Valley Stream,NY,11582,US,40.66351318,-73.7264328,2022-12-16 15:27:37
Sonic,148 Page Avenue,,Staten Island,NY,10309,US,40.52078629,-74.23560333,2022-12-16 15:27:37
Sonic,1724 Hempstead Turnpike,,East Meadow,NY,11554,US,40.72314835,-73.57243347,2022-12-16 15:27:38
Sonic,296 Highway 29 North,,Concord,NC,28025,US,35.40341568,-80.60874176,2022-12-18 06:25:19
Sonic,7761 Gateway Lane Nw,,Concord,NC,28027,US,35.36732483,-80.7106781,2022-12-18 06:25:19
Sonic,5445 Highway 49 South,,Harrisburg,NC,28075,US,35.32003403,-80.66810608,2022-12-18 06:25:19
Sonic,2894 N Cannon Blvd,,Kannapolis,NC,28083,US,35.53559113,-80.60568237,2022-12-18 06:25:19
Sonic,128 Williamson Road,,Mooresville,NC,28117,US,35.59386444,-80.87031555,2022-12-18 06:25:20
Sonic,940 West Main Street,,Rockwell,NC,28138,US,35.55988312,-80.41445923,2022-12-18 06:25:19
Sonic,265 Mt Holly-huntersville Rd,,Charlotte,NC,28214,US,35.30288696,-80.98587799,2022-12-18 06:25:21
Sonic,935 West Innes Street,,Salisbury,NC,28144,US,35.67459488,-80.47977448,2022-12-18 06:25:20
Sonic,1022 West Wilson Avenue,,Chicago,IL,60640,US,41.96575546,-87.65588379,2022-12-18 06:25:10
