company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Subway,411 Lemoyne Dr.,,Dauphin Island,AL,36528,US,30.25720024,-88.11289978,2022-12-16 15:27:53
Subway,1545 Gulfshore Pky,,Gulf Shores,AL,36542,US,30.26650047,-87.69000244,2022-12-18 06:25:17
Subway,170 Ft Morgan Rd,,Gulf Shores,AL,36542,US,30.26679993,-87.68669891,2022-12-18 06:25:17
Subway,25755 Perdido Beach Blvd.,,Orange Beach,AL,36561,US,30.27029991,-87.58879852,2022-12-18 06:25:13
Subway,25814 Canal Rd,Ste 10,Orange Beach,AL,36561,US,30.29089928,-87.58439636,2022-12-18 06:25:13
Subway,13280 North Wintzell Ave,,Bayou La Batre,AL,36509,US,30.41519928,-88.24629974,2022-12-16 15:27:53
Subway,2116 South McKenzie Street,,Foley,AL,36535,US,30.38470078,-87.68370056,2022-12-18 06:25:13
Subway,713 S McKenzie St.,,Foley,AL,36535,US,30.40029907,-87.68440247,2022-12-18 06:25:13
Subway,1159 N. McKenzie Street,,Foley,AL,36535,US,30.41959953,-87.68379974,2022-12-18 06:25:17
Subway,711 Quietwater Beach Road,,Pensacola Beach,FL,32561,US,30.33429909,-87.14060211,2022-12-18 06:25:13
Subway,3767 Gulf Breeze Pkwy,,Gulf Breeze,FL,32563,US,30.38750076,-87.06559753,2022-12-18 06:25:13
Subway,3075 Gulf Breeze Pky,,Gulf Breeze,FL,32563,US,30.38509941,-87.09609985,2022-12-18 06:25:13
Subway,5342 Gulf Breeze Pkwy,,Gulf Breeze,FL,32563,US,30.40019989,-87.00019836,2022-12-18 06:25:13
Subway,8664 Navarre Parkway,,Navarre,FL,32566,US,30.40270042,-86.86070251,2022-12-18 06:25:13
Subway,Bldg #630,,Pensacola,FL,32508,US,30.35029984,-87.27010345,2022-12-18 06:25:13
Subway,3502 Barrancas Ave,,Pensacola,FL,32507,US,30.39319992,-87.25800323,2022-12-18 06:25:13
Subway,1020 N 9th Ave,Unit C,Pensacola,FL,32501,US,30.42370033,-87.20700073,2022-12-18 06:25:13
Subway,5555 Highway 98,Building 3600,Pensacola,FL,32507,US,30.39539909,-87.29190063,2022-12-06 05:51:11
Subway,549 Richard Jackson Blvd,"Ste H-7, H-8A",Panama City Beach,FL,32407,US,30.18499947,-85.81809998,2022-12-18 06:25:20
Subway,8744 Thomas Drive,,Panama City Beach,FL,32407,US,30.16869926,-85.79029846,2022-12-18 06:25:20
Subway,15495 Panama City Beach Pkwy,,Panama City Beach,FL,32413,US,30.21920013,-85.86579895,2022-12-18 06:25:20
Subway,17304 Panama Beach Pky Hwy 98,,Panama City,FL,32413,US,30.23159981,-85.89099884,2022-12-18 06:25:20
Subway,2521 Thomas Dr,Unit C,Panama City,FL,32408,US,30.15850067,-85.75340271,2022-12-16 15:27:54
Subway,7714 Front Beach Rd,,Panama City Beach,FL,32407,US,30.18720055,-85.77010345,2022-12-18 06:25:20
Subway,3700 23rd St W,Ste B,Panama City,FL,32405,US,30.19020081,-85.70860291,2022-12-16 15:27:54
Subway,8140 W. Hwy 388,,Panama City Beach,FL,32413,US,30.29829979,-85.84889984,2022-12-18 06:25:20
Subway,3723  E County Hwy 30A,Unit 8,Santa Rosa Beach,FL,32459,US,30.31340027,-86.11470032,2022-12-18 06:25:15
Subway,287 W 15th St,,Panama City,FL,32401,US,30.17490005,-85.66539764,2022-12-16 15:27:54
Subway,507 S Hwy 71,,Wewahitchka,FL,32465,US,30.10930061,-85.20110321,2022-12-16 15:27:48
Subway,47 Ave E,,Apalachicola,FL,32320,US,29.7276001,-84.98519897,2022-12-16 15:27:51
Subway,163 E Gulf Beach Drive,,St George Island,FL,32328,US,29.66449928,-84.86049652,2022-12-16 15:27:51
Subway,10994 NW St. Rt 20,,Bristol,FL,32321,US,30.43190002,-84.97720337,2022-12-16 15:27:48
Subway,20521 West Central Ave,,Blountstown,FL,32424,US,30.44280052,-85.04759979,2022-12-16 15:27:48
Subway,468 Illinois Ave. Bldg. 970,,Tyndall AFB,FL,32403,US,30.07180023,-85.58989716,2022-12-16 15:27:54
Subway,241 S. Tyndall Pkwy.,,Panama City,FL,32404,US,30.14229965,-85.59079742,2022-12-16 15:27:54
Subway,5500 N Star Ave,,Panama City,FL,32404,US,30.24799919,-85.55619812,2022-12-16 15:27:51
Subway,3604 East 15th Street,,Panama City,FL,32404,US,30.17490005,-85.60600281,2022-12-16 15:27:54
Subway,3073 Crawfordville Hwy,,Crawfordville,FL,32327,US,30.1753006,-84.37460327,2022-12-16 15:27:48
Subway,20895 Hwy 43,,Mount Vernon,AL,36560,US,31.12369919,-88.00959778,2022-12-13 15:34:06
Subway,807 Celeste Road,,Saraland,AL,36571,US,30.82900047,-88.09089661,2022-12-13 15:34:04
Subway,620 Hwy 43 S,Unit C,Saraland,AL,36571,US,30.80830002,-88.0714035,2022-12-13 15:34:04
Subway,701 McMeans Ave,,Bay Minette,AL,36507,US,30.88540077,-87.79029846,2022-12-13 15:34:04
Subway,1380 Industrial Pkwy,,Saraland,AL,36571,US,30.80290031,-88.1088028,2022-12-13 15:34:04
Subway,102 McMeans Ave,,Bay Minette,AL,36507,US,30.87940025,-87.78269958,2022-12-13 15:34:04
Subway,19500 N 3rd St,Unit E,Citronelle,AL,36522,US,31.09760094,-88.23750305,2022-12-13 15:34:04
Subway,2600 Beltline Hwy.,,Prichard,AL,36612,US,30.74200058,-88.11049652,2022-12-13 15:34:04
