company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Tim Hortons,12677 Coldwater Rd,,Fort Wayne,IN,46845,US,41.19942093,-85.13357544,2022-11-16 08:12:41
Tim Hortons,1919 W Cook Rd,,Fort Wayne,IN,46818,US,41.14513016,-85.16610718,2022-11-16 08:12:41
Tim Hortons,3975 Ice Way,,Fort Wayne,IN,46805,US,41.11420441,-85.14798737,2022-11-16 08:12:41
Tim Hortons,12200 Lafayette Center Rd,,Roanoke,IN,46783,US,40.9643364,-85.30316162,2022-11-16 08:12:41
Tim Hortons,301 Odlin Rd,,Bangor,ME,04401,US,44.79064178,-68.81118774,2022-11-16 08:12:41
Tim Hortons,594 Broadway,,Bangor,ME,04401,US,44.82125092,-68.7778244,2022-11-16 08:12:41
Tim Hortons,394 Wilson St,,Brewer,ME,04412,US,44.78473663,-68.75125122,2022-11-16 08:12:41
Tim Hortons,283 North St,,Calais,ME,04619,US,45.18133545,-67.28585052,2022-11-16 08:12:41
Tim Hortons,109 Bennett Dr,,Caribou,ME,04736,US,46.86834717,-68.00404358,2022-11-16 08:12:41
Tim Hortons,165 Hinckley Rd,,Clinton,ME,04927,US,44.64014435,-69.52474213,2022-11-16 08:12:41
Tim Hortons,290 North St,,Houlton,ME,04730,US,46.14503098,-67.84109497,2022-11-16 08:12:41
Tim Hortons,229 Main St,,Madawaska,ME,04756,US,47.35602951,-68.33166504,2022-11-16 08:12:41
Tim Hortons,779 Main St,,Presque Isle,ME,04769,US,46.69748306,-68.01197052,2022-11-16 08:12:41
Tim Hortons,727 S Main St,,Adrian,MI,49221,US,41.88875961,-84.04290771,2022-11-16 08:12:41
Tim Hortons,5180 Lake Michigan Dr,,Allendale,MI,49401,US,42.97185898,-85.91395569,2022-11-16 08:12:41
Tim Hortons,7642 N Alger Rd,,Alma,MI,48801,US,43.40225983,-84.66610718,2022-11-16 08:12:41
Tim Hortons,325 North Zeeb Rd,,Ann Arbor,MI,48103,US,42.2934761,-83.83933258,2022-11-16 08:12:41
Tim Hortons,3975 S State Rd,,Ann Arbor,MI,48103,US,42.22966385,-83.73806763,2022-11-16 08:12:41
Tim Hortons,3460 Wilder Rd,,Bay City,MI,48706,US,43.62333679,-83.91487122,2022-11-16 08:12:41
Tim Hortons,11175 Haggerty Rd,,Belleville,MI,48111,US,42.22317505,-83.43985748,2022-11-16 08:12:41
Tim Hortons,2141 Rawsonville Rd,,Belleville,MI,48111,US,42.21514511,-83.54308319,2022-11-16 08:12:41
Tim Hortons,36101 Woodward Ave,,Birmingham,MI,48009,US,42.55397797,-83.21937561,2022-11-16 08:12:41
Tim Hortons,6495 Telegraph Rd,,Bloomfield,MI,48301,US,42.54536438,-83.28424835,2022-11-16 08:12:41
Tim Hortons,300 W Grand River Ave,,Brighton,MI,48116,US,42.53111649,-83.78062439,2022-11-16 08:12:41
Tim Hortons,152 S Main St,,Brooklyn,MI,49230,US,42.10421753,-84.2485199,2022-11-16 08:12:41
Tim Hortons,20913 Gibraltar Rd,,Brownstown,MI,48183,US,42.09466171,-83.23699188,2022-11-16 08:12:41
Tim Hortons,1230 E Bristol Rd,,Burton,MI,48529,US,42.97351837,-83.68482971,2022-11-16 08:12:41
Tim Hortons,4025 E Court St,,Burton,MI,48509,US,43.01911163,-83.63408661,2022-11-16 08:12:41
Tim Hortons,2560 E Division E M-55,,Cadillac,MI,49601,US,44.25215912,-85.36515045,2022-11-16 08:12:41
Tim Hortons,41276 Ford Rd,,Canton,MI,48187,US,42.32351685,-83.44772339,2022-11-16 08:12:41
Tim Hortons,45135 Ford Rd,,Canton,MI,48187,US,42.32145309,-83.48458862,2022-11-16 08:12:41
Tim Hortons,45515 Michigan Ave,,Canton,MI,48188,US,42.27090454,-83.48823547,2022-11-16 08:12:41
Tim Hortons,3622 14 Mile Road Ne,,Cedar Springs,MI,49319,US,43.17488861,-85.579216,2022-11-16 08:12:41
Tim Hortons,35101 Harper Ave,,Charter Twp Of Clinton,MI,48035,US,42.55613327,-82.87064362,2022-11-16 08:12:41
Tim Hortons,33651 23 Mile Rd,,Chesterfield,MI,48047,US,42.67627335,-82.76941681,2022-11-16 08:12:41
Tim Hortons,51595 Gratiot Ave,,Chesterfield,MI,48051,US,42.67924881,-82.83026886,2022-11-16 08:12:41
Tim Hortons,5700 Maybee Rd,,Clarkston,MI,48346,US,42.71962357,-83.37723541,2022-11-16 08:12:41
Tim Hortons,6889 Sashabaw Rd.,,Clarkston,MI,48348,US,42.73947906,-83.38028717,2022-11-16 08:12:41
Tim Hortons,6891 Sashabaw,,Clarkston,MI,48348,US,42.7195816,-83.37723541,2022-11-16 08:12:41
Tim Hortons,1230 W 14 Mile Rd,,Clawson,MI,48017,US,42.53365707,-83.16468048,2022-11-16 08:12:41
Tim Hortons,39043 Garfield Rd,,Clinton,MI,48038,US,42.58396149,-82.95269775,2022-11-16 08:12:41
Tim Hortons,1085 S Gratiot Ave,,Clinton Township,MI,48036,US,42.58315277,-82.88404083,2022-11-16 08:12:41
Tim Hortons,21406 Hall Rd,,Clinton Township,MI,48038,US,42.62810135,-82.90349579,2022-11-16 08:12:41
Tim Hortons,34325 Groesbeck Hwy,,Clinton Township,MI,48035,US,42.54933929,-82.92802429,2022-11-16 08:12:41
Tim Hortons,39847 S Groesbeck Hwy,,Clinton Township,MI,48036,US,42.5928421,-82.90116882,2022-11-16 08:12:41
Tim Hortons,4140 W Vienna Rd,,Clio,MI,48420,US,43.17790222,-83.75957489,2022-11-16 08:12:41
Tim Hortons,2201 Haggerty Hwy,,Commerce,MI,48390,US,42.55725098,-83.4397049,2022-11-16 08:12:41
Tim Hortons,1058 S State Rd,,Davison,MI,48423,US,43.01822281,-83.51826477,2022-11-16 08:12:41
Tim Hortons,10005 W Warren Ave,,Dearborn,MI,48126,US,42.34410858,-83.15783691,2022-11-16 08:12:41
Tim Hortons,10401 Ford Rd,,Dearborn,MI,48126,US,42.32943344,-83.15918732,2022-11-16 08:12:41
Tim Hortons,13661 Colson St,,Dearborn,MI,48126,US,42.32431793,-83.17690277,2022-11-16 08:12:41
Tim Hortons,21203 Michigan Ave,,Dearborn,MI,48124,US,42.30747604,-83.2368927,2022-11-16 08:12:41
Tim Hortons,23780 Michigan Ave,,Dearborn,MI,48124,US,42.30088043,-83.26859283,2022-11-16 08:12:41
Tim Hortons,24921 Ford Rd,,Dearborn,MI,48128,US,42.32655716,-83.28157806,2022-11-16 08:12:41
Tim Hortons,25000 Michigan Ave,,Dearborn,MI,48124,US,42.29847717,-83.28166199,2022-11-16 08:12:41
Tim Hortons,3550 Greenfield Rd,,Dearborn,MI,48120,US,42.30867004,-83.18840027,2022-11-16 08:12:41
Tim Hortons,27380 Cherry Hill Rd,,Dearborn Heights,MI,48127,US,42.31210709,-83.31023407,2022-11-16 08:12:41
Tim Hortons,4035 Telegraph Rd,,Dearborn Heights,MI,48125,US,42.28046799,-83.27021027,2022-11-16 08:12:41
Tim Hortons,7205 N Telegraph Rd,,Dearborn Heights,MI,48127,US,42.34173203,-83.27404022,2022-11-16 08:12:41
Tim Hortons,10533 Gratiot Ave,,Detroit,MI,48213,US,42.40095139,-83.00067139,2022-11-16 08:12:41
Tim Hortons,15340 Wyoming St,,Detroit,MI,48238,US,42.40322876,-83.1594162,2022-11-16 08:12:41
Tim Hortons,7201 E Jefferson Ave,,Detroit,MI,48214,US,42.3476181,-83.00173187,2022-11-16 08:12:41
Tim Hortons,7285 Greenfield Rd,,Detroit,MI,48228,US,42.34504318,-83.19676971,2022-11-16 08:12:41
Tim Hortons,12962 S Us Highway 27,,Dewitt,MI,48820,US,42.82902527,-84.54366302,2022-11-16 08:12:41
Tim Hortons,107 Cabelas Blvd East,,Dundee,MI,48131,US,41.96053696,-83.67670441,2022-11-16 08:12:41
Tim Hortons,17210 E 9 Mile Rd,,Eastpointe,MI,48021,US,42.46460342,-82.94405365,2022-11-16 08:12:41
Tim Hortons,2906 Center Ave,,Essexville,MI,48732,US,43.59442902,-83.84669495,2022-11-16 08:12:41
Tim Hortons,24205 Orchard Lake Rd,,Farmington Hills,MI,48336,US,42.47042084,-83.3576889,2022-11-16 08:12:41
