company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Waffle House,298 JAMES LEE BLVD,,CRESTVIEW,FL,32536,US,30.76239014,-86.57624817,2022-11-26 19:44:49
Waffle House,8000 MACON HWY,,ATHENS,GA,30606,US,33.8897171,-83.41285706,2022-11-26 19:44:51
Waffle House,2903 MARTHA BERRY,,ROME,GA,30161,US,34.30598068,-85.17437744,2022-11-26 19:44:51
Waffle House,2535 JOHN HAWKINS,,HOOVER,AL,35244,US,33.35466766,-86.84338379,2022-11-26 19:44:51
Waffle House,2735 FOREST PARKWAY,,ELLENWOOD,GA,30294,US,33.61217117,-84.30039215,2022-11-26 19:44:51
Waffle House,1201 BANKHEAD HWY,,CARROLLTON,GA,30117,US,33.59624863,-85.03610229,2022-11-26 19:44:51
Waffle House,5176 CALDWELL MILL,,HOOVER,AL,35244,US,33.38677597,-86.73960876,2022-11-26 19:44:51
Waffle House,4284 BELLS FERRY RD,,KENNESAW,GA,30144,US,34.05490875,-84.5565033,2022-11-26 19:44:51
Waffle House,938 ALLISON BONNETT,,HUEYTOWN,AL,35023,US,33.45700073,-86.96559906,2022-11-26 19:44:51
Waffle House,1325 US HWY 74 WEST,,WADESBORO,NC,28170,US,34.97808456,-80.09294128,2022-11-26 19:44:51
Waffle House,8060 ROCKBRIDGE RD,,LITHONIA,GA,30058,US,33.77513123,-84.07415009,2022-11-26 19:44:51
Waffle House,8765 TARA BLVD.,,JONESBORO,GA,30236,US,33.51584625,-84.3631134,2022-11-26 19:44:51
Waffle House,4896 UNIVERSITY DR,,HUNTSVILLE,AL,35816,US,34.73865891,-86.65707397,2022-11-26 19:44:51
Waffle House,2111 HWY 92,,DOUGLASVILLE,GA,30135,US,33.7475853,-84.70163727,2022-11-26 19:44:51
Waffle House,2210 DEMERE RD,,ST SIMONS ISLAND,GA,31522,US,31.16058922,-81.39129639,2022-11-26 19:44:49
Waffle House,408 PRATT AVENUE,,HUNTSVILLE,AL,35801,US,34.73870087,-86.57959747,2022-11-26 19:44:51
Waffle House,8239 HWY. 278,,COVINGTON,GA,30014,US,33.59996414,-83.83444977,2022-11-26 19:44:51
Waffle House,11500 MEMORIAL PKWY,,HUNTSVILLE,AL,35803,US,34.62802887,-86.56736755,2022-11-26 19:44:51
Waffle House,4915 US HWY. 129 N.,,JEFFERSON,GA,30549,US,34.15208817,-83.64324951,2022-11-26 19:44:51
Waffle House,3745 HIGHWAY 53,,HUNTSVILLE,AL,35806,US,34.79183197,-86.66790771,2022-11-26 19:44:51
Waffle House,1686 OLD YORK ROAD,,YORK,SC,29745,US,34.98612976,-81.20160675,2022-11-26 19:44:51
Waffle House,28 BIRMINGHAM HWY,,CHATTANOOGA,TN,37419,US,35.01727295,-85.38215637,2022-11-26 19:44:51
Waffle House,7106 BAILEY CREEK,,HUNTSVILLE,AL,35802,US,34.67291641,-86.53900146,2022-11-26 19:44:51
Waffle House,41 YEMASSEE ROAD,,YEMASSEE,SC,29945,US,32.63235092,-80.87506104,2022-11-26 19:44:49
Waffle House,7705 LEE HIGHWAY,,CHATTANOOGA,TN,37421,US,35.06155777,-85.13304901,2022-11-26 19:44:51
Waffle House,36 SHIELDS RD,,HUNTSVILLE,AL,35811,US,34.7747612,-86.52731323,2022-11-26 19:44:51
Waffle House,901 E BUTLER RD,,MAULDIN,SC,29607,US,34.80378723,-82.28508759,2022-11-26 19:44:51
Waffle House,6007 SHALLOWFORD RD,,CHATTANOOGA,TN,37411,US,35.05409241,-85.18772888,2022-11-26 19:44:51
Waffle House,2680 GEORGETOWN RD,,CLEVELAND,TN,37311,US,35.19089508,-84.88518524,2022-11-26 19:44:51
Waffle House,500 PELHAM RD NORTH,,JACKSONVILLE,AL,36265,US,33.81850052,-85.76132202,2022-11-26 19:44:51
Waffle House,710 HIGHWAY 19 NORTH,,MERIDIAN,MS,39307,US,32.36336899,-88.72845459,2022-11-26 19:44:51
Waffle House,801 HWY 78 EAST,,JASPER,AL,35501,US,33.84742355,-87.26651001,2022-11-26 19:44:51
Waffle House,1315 N HWY 45 ALT RT,,WEST POINT,MS,39773,US,33.58589935,-88.65911102,2022-11-26 19:44:51
Waffle House,110 VENTURE DR,,BRUNSWICK,GA,31525,US,31.24540138,-81.5056076,2022-11-26 19:44:49
Waffle House,5021 HIGHWAY 493,,MERIDIAN,MS,39305,US,32.41270065,-88.70040131,2022-11-26 19:44:51
Waffle House,203 CARL CANNON BLVD,,JASPER,AL,35501,US,33.79286575,-87.24334717,2022-11-26 19:44:51
Waffle House,1255 SCENIC HWY,,LAWRENCEVILLE,GA,30045,US,33.90000153,-84.00590515,2022-11-26 19:44:51
Waffle House,3270 BUFORD DR,,BUFORD,GA,30519,US,34.06773376,-83.9874115,2022-11-26 19:44:51
Waffle House,889 1ST AVENUE,,MERIDIAN,MS,39301,US,32.36534119,-88.67577362,2022-11-26 19:44:51
