company_name,address_line_1,address_line_2,city,state_alpha,postal_code,country_code,latitude,longitude,when_verified
Whataburger,8000 FM 423,,Frisco,TX,75036,US,33.14601898,-96.89028168,2022-12-16 15:27:43
Whataburger,11650 N Dallas Pkwy,,Frisco,TX,75034,US,33.17436218,-96.83849335,2022-12-16 15:27:43
Whataburger,5266 Preston Rd,,Frisco,TX,75034,US,33.12279129,-96.80492401,2022-12-16 15:27:43
Whataburger,4687 State Highway 121,,The Colony,TX,75056,US,33.06505203,-96.89282227,2022-12-16 15:27:43
Whataburger,1201 S Preston Rd,,Prosper,TX,75078,US,33.22140503,-96.79924011,2022-12-16 15:27:43
Whataburger,6401 Coit Rd,,Plano,TX,75024,US,33.0594902,-96.77098083,2022-12-16 15:27:43
Whataburger,8608 State Highway 121,,McKinney,TX,75070,US,33.12818527,-96.72698975,2022-12-16 15:27:43
Whataburger,3424 E Hebron Pkwy,,Carrollton,TX,75010,US,33.02638626,-96.84098816,2022-12-16 15:27:43
Whataburger,9053 W University Dr,,McKinney,TX,75071,US,33.21799469,-96.73384094,2022-12-16 15:27:43
Whataburger,6151 Eldorado Pkwy,,McKinney,TX,75070,US,33.17354584,-96.69605255,2022-12-16 15:27:43
Whataburger,9822 Gaston Rd,,Katy,TX,77494,US,29.73586845,-95.81176758,2022-12-16 15:27:45
Whataburger,25635 Katy Fwy,,Katy,TX,77494,US,29.77485275,-95.82048035,2022-12-16 15:27:45
Whataburger,23540 Westheimer Pkwy,,Katy,TX,77494,US,29.73414612,-95.77539062,2022-12-16 15:27:43
Whataburger,27002 FM 1093 Rd,,Richmond,TX,77406,US,29.69558334,-95.84442902,2022-12-16 15:27:49
Whataburger,22710 Bellaire Blvd,,Richmond,TX,77406,US,29.68962669,-95.77219391,2022-12-16 15:27:43
Whataburger,307 S Mason Road,,Katy,TX,77450,US,29.78266907,-95.75130463,2022-12-16 15:27:43
Whataburger,2940 W Grand Pkwy N,,Katy,TX,77449,US,29.8157444,-95.77069092,2022-12-16 15:27:45
Whataburger,1225 Fry Road,,Katy,TX,77449,US,29.7877388,-95.72020721,2022-12-16 15:27:43
Whataburger,4817 Waterview Town Center Dr,,Richmond,TX,77407,US,29.66037178,-95.71742249,2022-12-16 15:27:43
Whataburger,2901 E Bell Rd,,Phoenix,AZ,85032,US,33.64030457,-112.01960754,2022-12-16 15:27:49
Whataburger,12440 N Tatum Blvd,,Phoenix,AZ,85032,US,33.60063934,-111.98015594,2022-12-16 15:27:43
Whataburger,2910 W Thunderbird Rd,,Phoenix,AZ,85053,US,33.61138916,-112.12093353,2022-12-16 15:27:43
Whataburger,4280 W Bell Rd,,Glendale,AZ,85308,US,33.63980865,-112.15119934,2022-12-18 06:25:17
Whataburger,9990 N 90th St,,Scottsdale,AZ,85258,US,33.57709885,-111.88628387,2022-12-16 15:27:49
Whataburger,2460 W Bethany Home Rd,,Phoenix,AZ,85015,US,33.52524948,-112.11147308,2022-12-18 06:25:21
Whataburger,12140 Montwood Drive,,El Paso,TX,79936,US,31.76023483,-106.27062225,2022-12-16 15:27:47
Whataburger,1755 N Lee Trevino Dr,,El Paso,TX,79936,US,31.76353836,-106.31945038,2022-12-16 15:27:39
Whataburger,11075 Gateway West,,El Paso,TX,79935,US,31.7450695,-106.33200073,2022-12-16 15:27:45
Whataburger,1310 George Dieter Dr,,El Paso,TX,79936,US,31.72157097,-106.30345154,2022-12-16 15:27:45
Whataburger,1198 N Yarbrough Dr,,El Paso,TX,79925,US,31.7559185,-106.34196472,2022-12-16 15:27:39
Whataburger,12302 Montana Ave,,El Paso,TX,79938,US,31.80698586,-106.25959778,2022-12-16 15:27:47
Whataburger,8055 North Loop,,El Paso,TX,79915,US,31.72906494,-106.34799194,2022-12-16 15:27:45
Whataburger,7400 Gateway Blvd E,,El Paso,TX,79915,US,31.76474762,-106.36653137,2022-12-16 15:27:39
